commentID,grammarError,spellingError
395942,0,NO_ERROR
325370,3, SOME_OF_THE EN_QUOTES EN_QUOTES
371161,1, UPPERCASE_SENTENCE_START
325734,7, EN_QUOTES EN_QUOTES EN_QUOTES EN_QUOTES SENTENCE_WHITESPACE SENTENCE_WHITESPACE EN_UNPAIRED_BRACKETS
481376,2, WHITESPACE_RULE WHITESPACE_RULE
290264,5, ENGLISH_WORD_REPEAT_BEGINNING_RULE EN_QUOTES EN_QUOTES WHITESPACE_RULE EN_CONTRACTION_SPELLING
327177,0,NO_ERROR
203104,9, EN_QUOTES EN_QUOTES SENTENCE_WHITESPACE EN_QUOTES EN_QUOTES SENTENCE_WHITESPACE SENTENCE_WHITESPACE ALL_READY SENTENCE_WHITESPACE
522880,1, SENTENCE_WHITESPACE
343164,2, WHITESPACE_RULE SENTENCE_WHITESPACE
354064,3, EN_QUOTES EN_QUOTES SENTENCE_WHITESPACE
206485,2, VERY_UNIQUE ENGLISH_WORD_REPEAT_BEGINNING_RULE
332082,3, EN_QUOTES EN_QUOTES SENTENCE_WHITESPACE
45614,3, SENTENCE_WHITESPACE SENTENCE_WHITESPACE IN_A_X_MANNER
122107,5, SENTENCE_WHITESPACE EN_QUOTES EN_QUOTES EN_QUOTES EN_QUOTES
25615,0,NO_ERROR
427485,1, SENTENCE_WHITESPACE
418665,0,NO_ERROR
42037,3, EN_QUOTES EN_QUOTES SENTENCE_WHITESPACE
244863,0,NO_ERROR
316139,1, SENTENCE_WHITESPACE
212436,10, SENTENCE_WHITESPACE WHITESPACE_RULE SENTENCE_WHITESPACE WHITESPACE_RULE SENTENCE_WHITESPACE WHITESPACE_RULE WHITESPACE_RULE ENGLISH_WORD_REPEAT_BEGINNING_RULE SENTENCE_WHITESPACE SENTENCE_WHITESPACE
123192,13, MASS_AGREEMENT HE_VERB_AGR EN_QUOTES EN_QUOTES EN_QUOTES EN_QUOTES NODT_DOZEN EN_QUOTES EN_QUOTES SENTENCE_WHITESPACE EN_QUOTES EN_QUOTES WHITESPACE_RULE
423215,12, IT_IS WHOLE_LOT SENTENCE_WHITESPACE SENTENCE_WHITESPACE UPPERCASE_SENTENCE_START EN_CONTRACTION_SPELLING EN_CONTRACTION_SPELLING EN_QUOTES EN_QUOTES EN_CONTRACTION_SPELLING SENTENCE_WHITESPACE EN_CONTRACTION_SPELLING
226187,12, EN_QUOTES EN_QUOTES SENTENCE_WHITESPACE SENTENCE_WHITESPACE EN_QUOTES EN_QUOTES EN_QUOTES EN_QUOTES EN_QUOTES EN_QUOTES EN_QUOTES EN_QUOTES
55034,0,NO_ERROR
235666,2, DT_PRP FEWER_LESS
156126,0,NO_ERROR
82282,1, SENTENCE_FRAGMENT
87338,6, EN_QUOTES EN_QUOTES EN_QUOTES EN_QUOTES SENTENCE_FRAGMENT ENGLISH_WORD_REPEAT_BEGINNING_RULE
94227,2, POSSESIVE_APOSTROPHE WHITESPACE_RULE
395290,9, WHITESPACE_RULE SENTENCE_FRAGMENT EN_QUOTES SENTENCE_WHITESPACE EN_QUOTES EN_QUOTES EN_QUOTES SENTENCE_WHITESPACE SOME_OF_THE
148648,6, WHITESPACE_RULE ENGLISH_WORD_REPEAT_RULE WHITESPACE_RULE WHITESPACE_RULE WHITESPACE_RULE WHITESPACE_RULE
64892,38, EN_UNPAIRED_BRACKETS EN_UNPAIRED_BRACKETS EN_QUOTES EN_UNPAIRED_BRACKETS EN_QUOTES EN_QUOTES EN_UNPAIRED_BRACKETS EN_UNPAIRED_BRACKETS EN_QUOTES EN_QUOTES EN_QUOTES SENTENCE_WHITESPACE EN_UNPAIRED_BRACKETS EN_UNPAIRED_BRACKETS EN_QUOTES EN_UNPAIRED_BRACKETS EN_QUOTES EN_QUOTES EN_UNPAIRED_BRACKETS EN_UNPAIRED_BRACKETS EN_QUOTES EN_QUOTES EN_QUOTES EN_UNPAIRED_BRACKETS EN_UNPAIRED_BRACKETS EN_UNPAIRED_BRACKETS EN_QUOTES EN_UNPAIRED_BRACKETS EN_QUOTES EN_QUOTES EN_UNPAIRED_BRACKETS EN_UNPAIRED_BRACKETS EN_QUOTES EN_QUOTES EN_QUOTES EN_UNPAIRED_BRACKETS SENTENCE_WHITESPACE SENTENCE_WHITESPACE
281899,1, SENTENCE_WHITESPACE
117606,1, SENTENCE_WHITESPACE
421753,1, WHITESPACE_RULE
507867,0,NO_ERROR
37548,2, EN_QUOTES EN_QUOTES
434709,9, SENTENCE_WHITESPACE EN_QUOTES EN_QUOTES SENTENCE_WHITESPACE ENGLISH_WORD_REPEAT_RULE BEEN_PART_AGREEMENT SENTENCE_WHITESPACE EN_QUOTES EN_QUOTES
325453,2, EN_QUOTES EN_QUOTES
340644,10, EN_QUOTES EN_QUOTES WHITESPACE_RULE SENTENCE_WHITESPACE WITH_THE_EXCEPTION_OF WHITESPACE_RULE EN_QUOTES EN_QUOTES WHITESPACE_RULE SENTENCE_WHITESPACE
427297,17, EN_QUOTES EN_QUOTES EN_QUOTES EN_QUOTES EN_QUOTES EN_QUOTES EN_QUOTES EN_QUOTES SENTENCE_WHITESPACE EN_QUOTES EN_QUOTES WHITESPACE_RULE WHITESPACE_RULE WHITESPACE_RULE SENTENCE_WHITESPACE EN_QUOTES EN_QUOTES
8673,4, THERE_S_MANY EN_QUOTES EN_QUOTES SENTENCE_WHITESPACE
446920,1, WHITESPACE_RULE
28243,0,NO_ERROR
100644,0,NO_ERROR
272468,1, SENTENCE_WHITESPACE
265905,0,NO_ERROR
208885,0,NO_ERROR
224390,2, EN_QUOTES EN_QUOTES
66680,6, UPPERCASE_SENTENCE_START EN_QUOTES EN_QUOTES ANY_MORE EN_QUOTES EN_QUOTES
143847,7, SENTENCE_WHITESPACE EN_QUOTES EN_QUOTES SENTENCE_WHITESPACE EN_UNPAIRED_BRACKETS EN_QUOTES EN_UNPAIRED_BRACKETS
251161,1, SENTENCE_WHITESPACE
45003,9, EN_UNPAIRED_BRACKETS EN_UNPAIRED_BRACKETS SENTENCE_WHITESPACE EN_UNPAIRED_BRACKETS EN_QUOTES EN_QUOTES EN_QUOTES EN_QUOTES SENTENCE_WHITESPACE
119467,0,NO_ERROR
17258,4, SENTENCE_WHITESPACE BETWEEN_PRP SENTENCE_WHITESPACE WHITESPACE_RULE
532498,0,NO_ERROR
207239,0,NO_ERROR
383347,3, ADVERB_WORD_ORDER PAST_TIME ENGLISH_WORD_REPEAT_BEGINNING_RULE
259270,0,NO_ERROR
93007,1, WHITESPACE_RULE
34527,0,NO_ERROR
125045,1, SENTENCE_WHITESPACE
280356,4, MORE_A_JJ EN_QUOTES UPPERCASE_SENTENCE_START EN_QUOTES
225264,1, PAST_TIME
330714,0,NO_ERROR
44694,0,NO_ERROR
481090,11, EN_QUOTES EN_QUOTES EN_QUOTES SENTENCE_WHITESPACE EN_QUOTES SENTENCE_WHITESPACE ALSO_SENT_END EN_QUOTES EN_QUOTES EN_QUOTES EN_QUOTES
390479,0,NO_ERROR
20257,1, DURING_THE_COURSE_OF
313684,3, UPPERCASE_SENTENCE_START SENTENCE_WHITESPACE SENT_START_CONJUNCTIVE_LINKING_ADVERB_COMMA
383842,5, EN_UNPAIRED_BRACKETS EN_QUOTES EN_QUOTES EN_QUOTES EN_QUOTES
113186,0,NO_ERROR
270081,0,NO_ERROR
101642,6, IF_IS SENTENCE_WHITESPACE EN_QUOTES EN_QUOTES SENTENCE_WHITESPACE WHITESPACE_RULE
14556,0,NO_ERROR
20662,18, SENTENCE_WHITESPACE SENTENCE_WHITESPACE SENTENCE_WHITESPACE SENTENCE_WHITESPACE SENTENCE_WHITESPACE EN_QUOTES EN_QUOTES EN_QUOTES EN_QUOTES EN_QUOTES EN_QUOTES EN_QUOTES EN_QUOTES COMMA_PARENTHESIS_WHITESPACE EN_QUOTES EN_QUOTES EN_QUOTES EN_QUOTES
102517,5, UPPERCASE_SENTENCE_START UPPERCASE_SENTENCE_START UPPERCASE_SENTENCE_START UPPERCASE_SENTENCE_START WHITESPACE_RULE
76123,0,NO_ERROR
201643,1, MANY_NN
169582,2, EN_QUOTES EN_QUOTES
80893,1, SENTENCE_WHITESPACE
272104,5, EN_QUOTES EN_QUOTES SENTENCE_WHITESPACE YOURS_APOSTROPHE SENTENCE_WHITESPACE
179560,1, SENTENCE_WHITESPACE
416356,1, WHITESPACE_RULE
480559,5, EN_QUOTES EN_QUOTES EN_QUOTES EN_QUOTES UPPERCASE_SENTENCE_START
439828,8, EN_QUOTES EN_QUOTES WHITESPACE_RULE EN_UNPAIRED_BRACKETS COMMA_PARENTHESIS_WHITESPACE SENTENCE_WHITESPACE SOME_OF_THE WHITESPACE_RULE
92717,0,NO_ERROR
66928,7, WHITESPACE_RULE SENTENCE_FRAGMENT SENTENCE_WHITESPACE COMMA_PARENTHESIS_WHITESPACE EN_QUOTES EN_QUOTES COMMA_PARENTHESIS_WHITESPACE
450993,4, WHITESPACE_RULE SENTENCE_WHITESPACE SENTENCE_WHITESPACE SENTENCE_WHITESPACE
283146,2, EN_QUOTES EN_QUOTES
343096,11, SENTENCE_WHITESPACE SENTENCE_WHITESPACE SENTENCE_WHITESPACE SENTENCE_WHITESPACE SENTENCE_WHITESPACE EN_QUOTES EN_QUOTES SENTENCE_WHITESPACE SENTENCE_WHITESPACE SENTENCE_WHITESPACE SENTENCE_WHITESPACE
324636,5, ALL_OF_THE WHITESPACE_RULE WHITESPACE_RULE IS_COMPRISED_OF WHITESPACE_RULE
218602,0,NO_ERROR
458818,2, EN_QUOTES EN_QUOTES
182273,5, UPPERCASE_SENTENCE_START SENTENCE_WHITESPACE COMMA_PARENTHESIS_WHITESPACE EN_QUOTES EN_QUOTES
260706,3, EN_QUOTES EN_QUOTES IT_IS
205700,6, EN_QUOTES EN_QUOTES SENTENCE_WHITESPACE SENTENCE_WHITESPACE EN_QUOTES EN_QUOTES
477637,0,NO_ERROR
476211,9, EN_QUOTES EN_QUOTES SENTENCE_WHITESPACE EN_QUOTES EN_QUOTES EN_QUOTES EN_QUOTES EN_QUOTES EN_QUOTES
277703,0,NO_ERROR
381488,13, I_LOWERCASE EN_QUOTES UPPERCASE_SENTENCE_START EN_QUOTES EN_QUOTES EN_QUOTES EN_QUOTES EN_QUOTES I_LOWERCASE EN_QUOTES EN_QUOTES I_LOWERCASE I_LOWERCASE
331950,2, EN_QUOTES EN_QUOTES
498051,0,NO_ERROR
250620,1, SENTENCE_WHITESPACE
74112,0,NO_ERROR
158360,2, ENGLISH_WORD_REPEAT_BEGINNING_RULE ENGLISH_WORD_REPEAT_BEGINNING_RULE
525604,7, SENTENCE_WHITESPACE CURRENCY_SPACE CURRENCY_SPACE CURRENCY_SPACE CURRENCY_SPACE COMMA_PARENTHESIS_WHITESPACE SENTENCE_WHITESPACE
404374,2, THERE_RE_MANY WHITESPACE_RULE
347180,0,NO_ERROR
221952,2, WHITESPACE_RULE NEITHER_NOR
446770,3, ENGLISH_WORD_REPEAT_BEGINNING_RULE SENTENCE_FRAGMENT SENTENCE_WHITESPACE
486463,0,NO_ERROR
431762,2, EN_QUOTES EN_QUOTES
274785,4, EN_QUOTES EN_QUOTES SENTENCE_WHITESPACE SENTENCE_WHITESPACE
193204,0,NO_ERROR
432295,14, SENTENCE_WHITESPACE EN_QUOTES EN_QUOTES EN_QUOTES EN_QUOTES EN_QUOTES EN_QUOTES ENGLISH_WORD_REPEAT_BEGINNING_RULE EN_QUOTES EN_QUOTES EN_QUOTES EN_QUOTES SENTENCE_WHITESPACE WHITESPACE_RULE
469446,4, EN_QUOTES EN_QUOTES EN_QUOTES EN_QUOTES
343951,7, SENTENCE_WHITESPACE THE_SUPERLATIVE ENGLISH_WORD_REPEAT_BEGINNING_RULE ENGLISH_WORD_REPEAT_BEGINNING_RULE SENTENCE_WHITESPACE ENGLISH_WORD_REPEAT_BEGINNING_RULE SENTENCE_WHITESPACE
54972,2, WHITESPACE_RULE ENGLISH_WORD_REPEAT_BEGINNING_RULE
329583,2, WHITESPACE_RULE SENTENCE_WHITESPACE
269839,2, WHITESPACE_RULE SENT_START_CONJUNCTIVE_LINKING_ADVERB_COMMA
79945,8, EN_QUOTES EN_QUOTES SENTENCE_WHITESPACE SENTENCE_WHITESPACE EN_QUOTES EN_QUOTES EN_QUOTES EN_QUOTES
101173,2, ENGLISH_WORD_REPEAT_BEGINNING_RULE FOR_AWHILE
106642,2, EN_QUOTES EN_QUOTES
60526,4, DID_BASEFORM EN_QUOTES EN_QUOTES SENTENCE_WHITESPACE
9064,7, EN_QUOTES EN_QUOTES ENGLISH_WORD_REPEAT_RULE SENTENCE_WHITESPACE WHETHER EN_QUOTES EN_QUOTES
280773,1, DT_PRP
36260,0,NO_ERROR
144072,1, SENTENCE_WHITESPACE
298332,5, EN_QUOTES EN_QUOTES ENGLISH_WORD_REPEAT_BEGINNING_RULE EN_QUOTES EN_QUOTES
8152,13, WHITESPACE_RULE COMMA_PARENTHESIS_WHITESPACE WHITESPACE_RULE COMMA_PARENTHESIS_WHITESPACE SENTENCE_WHITESPACE SENTENCE_WHITESPACE SENTENCE_WHITESPACE SENTENCE_FRAGMENT SENTENCE_WHITESPACE WHITESPACE_RULE WHITESPACE_RULE COMMA_PARENTHESIS_WHITESPACE COMMA_PARENTHESIS_WHITESPACE
508318,2, SENTENCE_WHITESPACE SENTENCE_WHITESPACE
277899,0,NO_ERROR
155191,4, EN_QUOTES EN_QUOTES EN_QUOTES EN_QUOTES
518867,1, SENTENCE_WHITESPACE
32418,13, EN_QUOTES EN_QUOTES SENTENCE_WHITESPACE SENTENCE_WHITESPACE SENTENCE_WHITESPACE SENTENCE_WHITESPACE SENTENCE_WHITESPACE SENTENCE_WHITESPACE SENTENCE_FRAGMENT SENTENCE_WHITESPACE SENTENCE_WHITESPACE EN_QUOTES EN_QUOTES
82010,2, FEWER_LESS ENGLISH_WORD_REPEAT_RULE
220372,0,NO_ERROR
295076,2, ENGLISH_WORD_REPEAT_BEGINNING_RULE ENGLISH_WORD_REPEAT_BEGINNING_RULE
353290,0,NO_ERROR
194346,2, EN_QUOTES EN_QUOTES
287330,3, EN_QUOTES EN_QUOTES SENTENCE_WHITESPACE
396955,2, WHITESPACE_RULE WHITESPACE_RULE
85169,0,NO_ERROR
296583,1, UPPERCASE_SENTENCE_START
166662,6, EN_QUOTES EN_QUOTES EN_QUOTES EN_QUOTES EN_QUOTES EN_QUOTES
499309,0,NO_ERROR
313138,5, EN_QUOTES EN_QUOTES EN_QUOTES EN_QUOTES AFFORD_VBG
329338,0,NO_ERROR
456330,7, EN_QUOTES EN_QUOTES WHITESPACE_RULE SENTENCE_FRAGMENT WHITESPACE_RULE WHITESPACE_RULE WHITESPACE_RULE
119664,0,NO_ERROR
119255,0,NO_ERROR
222458,48, EN_QUOTES COMMA_PARENTHESIS_WHITESPACE COMMA_PARENTHESIS_WHITESPACE COMMA_PARENTHESIS_WHITESPACE EN_QUOTES EN_QUOTES EN_QUOTES EN_QUOTES EN_QUOTES SENTENCE_WHITESPACE EN_QUOTES EN_QUOTES EN_QUOTES EN_QUOTES EN_COMPOUNDS WORLD_WIDE COMMA_PARENTHESIS_WHITESPACE COMMA_PARENTHESIS_WHITESPACE COMMA_PARENTHESIS_WHITESPACE UPPERCASE_SENTENCE_START EN_QUOTES EN_QUOTES SENTENCE_WHITESPACE EN_QUOTES EN_QUOTES EN_QUOTES COMMA_PARENTHESIS_WHITESPACE COMMA_PARENTHESIS_WHITESPACE COMMA_PARENTHESIS_WHITESPACE UPPERCASE_SENTENCE_START EN_QUOTES EN_QUOTES COMMA_PARENTHESIS_WHITESPACE COMMA_PARENTHESIS_WHITESPACE COMMA_PARENTHESIS_WHITESPACE EN_QUOTES COMMA_PARENTHESIS_WHITESPACE COMMA_PARENTHESIS_WHITESPACE COMMA_PARENTHESIS_WHITESPACE UPPERCASE_SENTENCE_START SENTENCE_WHITESPACE EN_QUOTES EN_QUOTES SENTENCE_WHITESPACE EN_QUOTES EN_QUOTES EN_QUOTES EN_QUOTES
401731,4, YOUR_S RATHER_THEN EN_QUOTES EN_QUOTES
277934,4, EN_QUOTES EN_QUOTES EN_QUOTES EN_QUOTES
28484,1, RATHER_THEN
35242,0,NO_ERROR
18012,5, ENGLISH_WORD_REPEAT_RULE EN_A_VS_AN DT_DT TRY_AND WHITESPACE_RULE
385903,0,NO_ERROR
499284,1, COMMA_PARENTHESIS_WHITESPACE
168027,1, SENTENCE_WHITESPACE
410693,4, EN_QUOTES EN_QUOTES WHITESPACE_RULE WHITESPACE_RULE
56081,3, EN_QUOTES EN_QUOTES NO_SPACE_CLOSING_QUOTE
261657,1, WHITESPACE_RULE
514072,0,NO_ERROR
163235,3, UPPERCASE_SENTENCE_START UPPERCASE_SENTENCE_START SENTENCE_WHITESPACE
201684,0,NO_ERROR
497814,1, DOUBLE_PUNCTUATION
82545,2, WHITESPACE_RULE SENTENCE_WHITESPACE
532402,6, SENTENCE_WHITESPACE NOT_US1 SENTENCE_WHITESPACE EN_QUOTES EN_QUOTES SENTENCE_WHITESPACE
72966,1, SENTENCE_FRAGMENT
32550,2, SENTENCE_WHITESPACE SENTENCE_WHITESPACE
177179,2, WHITESPACE_RULE SENTENCE_WHITESPACE
264488,0,NO_ERROR
334658,7, SENTENCE_WHITESPACE WHITESPACE_RULE EN_QUOTES EN_QUOTES SENTENCE_WHITESPACE SENTENCE_WHITESPACE SENTENCE_WHITESPACE
35419,9, ENGLISH_WORD_REPEAT_BEGINNING_RULE ENGLISH_WORD_REPEAT_BEGINNING_RULE ADVERB_WORD_ORDER ENGLISH_WORD_REPEAT_BEGINNING_RULE ENGLISH_WORD_REPEAT_BEGINNING_RULE ENGLISH_WORD_REPEAT_BEGINNING_RULE WHITESPACE_RULE ENGLISH_WORD_REPEAT_BEGINNING_RULE ENGLISH_WORD_REPEAT_BEGINNING_RULE
201400,0,NO_ERROR
384151,3, COMMA_PARENTHESIS_WHITESPACE SENTENCE_WHITESPACE APOSTROPHE_PLURAL
22387,2, EN_QUOTES EN_QUOTES
19922,2, SENTENCE_WHITESPACE SENTENCE_WHITESPACE
310309,6, EN_QUOTES EN_QUOTES SENTENCE_WHITESPACE EN_QUOTES EN_QUOTES ENGLISH_WORD_REPEAT_BEGINNING_RULE
81170,0,NO_ERROR
56286,0,NO_ERROR
290314,9, EN_QUOTES EN_QUOTES EN_QUOTES EN_QUOTES SENTENCE_WHITESPACE SENTENCE_WHITESPACE EN_QUOTES EN_QUOTES WHITESPACE_RULE
293426,6, EN_QUOTES EN_QUOTES EN_QUOTES EN_QUOTES EN_QUOTES EN_QUOTES
497996,0,NO_ERROR
67984,0,NO_ERROR
281055,0,NO_ERROR
67698,0,NO_ERROR
454677,4, SENTENCE_WHITESPACE SENTENCE_WHITESPACE ENGLISH_WORD_REPEAT_BEGINNING_RULE SENTENCE_WHITESPACE
375873,3, SENT_START_CONJUNCTIVE_LINKING_ADVERB_COMMA EN_QUOTES EN_QUOTES
520487,4, SENTENCE_WHITESPACE SENTENCE_WHITESPACE SENTENCE_WHITESPACE MANY_NN
92672,0,NO_ERROR
194464,5, EN_QUOTES EN_QUOTES EN_QUOTES EN_QUOTES SENTENCE_WHITESPACE
482728,9, EN_QUOTES EN_QUOTES EN_QUOTES EN_QUOTES SENTENCE_WHITESPACE SENTENCE_WHITESPACE EN_QUOTES EN_QUOTES SENTENCE_WHITESPACE
519454,4, COMMA_PARENTHESIS_WHITESPACE COMMA_PARENTHESIS_WHITESPACE COMMA_PARENTHESIS_WHITESPACE COMMA_PARENTHESIS_WHITESPACE
270156,1, SENTENCE_WHITESPACE
211839,2, WHITESPACE_RULE SENTENCE_WHITESPACE
516184,1, SENT_START_CONJUNCTIVE_LINKING_ADVERB_COMMA
425471,1, SOME_OF_THE
424830,0,NO_ERROR
312768,0,NO_ERROR
66794,2, WHITESPACE_RULE ENGLISH_WORD_REPEAT_RULE
105638,3, RATHER_THEN EN_QUOTES EN_QUOTES
9404,3, SENTENCE_WHITESPACE EN_COMPOUNDS SENTENCE_WHITESPACE
82156,0,NO_ERROR
39191,0,NO_ERROR
154711,1, INSURE_THAT
282110,1, IT_IS
187702,6, SENTENCE_WHITESPACE SENTENCE_WHITESPACE EN_QUOTES EN_QUOTES SENTENCE_WHITESPACE SENTENCE_WHITESPACE
355378,3, SENTENCE_WHITESPACE WHITESPACE_RULE SENTENCE_WHITESPACE
296863,5, EN_UNPAIRED_BRACKETS EN_QUOTES EN_QUOTES EN_QUOTES EN_QUOTES
440988,8, SENTENCE_WHITESPACE WHITESPACE_RULE SENTENCE_WHITESPACE WHITESPACE_RULE SENTENCE_WHITESPACE WHITESPACE_RULE SENTENCE_WHITESPACE SENTENCE_WHITESPACE
378133,0,NO_ERROR
365942,1, SENTENCE_WHITESPACE
